symbol,hex,code,name,category,entities,set,tags
 ,00A0,160,no-break space,Latin-1 Supplement,NonBreakingSpace nbsp,Spaces,space
¡,00A1,161,inverted exclamation mark,Latin-1 Supplement,iexcl,,exclamation mark !
¢,00A2,162,cent sign,Latin-1 Supplement,cent,Currencies,cent c currency
£,00A3,163,pound sign,Latin-1 Supplement,pound,Currencies,pound currency
¤,00A4,164,currency sign,Latin-1 Supplement,curren,Currencies,currency
¥,00A5,165,yen sign,Latin-1 Supplement,yen,Currencies,yen y currency
¦,00A6,166,broken bar,Latin-1 Supplement,brvbar,,bar vertical |
§,00A7,167,section sign,Latin-1 Supplement,sect,,s
¨,00A8,168,diaeresis,Latin-1 Supplement,Dot DoubleDot die uml,,""""
ª,00AA,170,feminine ordinal indicator,Latin-1 Supplement,ordf,,a
«,00AB,171,left-pointing double angle quotation mark,Latin-1 Supplement,laquo,Quotes,<< quote
¬,00AC,172,not sign,Latin-1 Supplement,not,,-
­,00AD,173,soft hyphen,Latin-1 Supplement,shy,,-
¯,00AF,175,macron,Latin-1 Supplement,macr strns,,- overline
°,00B0,176,degree sign,Latin-1 Supplement,deg,,degree o
±,00B1,177,plus-minus sign,Latin-1 Supplement,PlusMinus plusmn pm,,plus-minus + - +-
²,00B2,178,superscript two,Latin-1 Supplement,sup2,,2
³,00B3,179,superscript three,Latin-1 Supplement,sup3,,3
´,00B4,180,acute accent,Latin-1 Supplement,DiacriticalAcute acute,,' `
µ,00B5,181,micro sign,Latin-1 Supplement,micro,,u
¶,00B6,182,pilcrow sign,Latin-1 Supplement,para,,enter return n p paragraph
·,00B7,183,middle dot,Latin-1 Supplement,CenterDot centerdot middot,,. middle dot
¸,00B8,184,cedilla,Latin-1 Supplement,Cedilla cedil,,","
¹,00B9,185,superscript one,Latin-1 Supplement,sup1,,1 superscript one
º,00BA,186,masculine ordinal indicator,Latin-1 Supplement,ordm,,o ordinal
»,00BB,187,right-pointing double angle quotation mark,Latin-1 Supplement,raquo,Quotes,>> quote
¼,00BC,188,vulgar fraction one quarter,Latin-1 Supplement,frac14,Fractions,1/4
½,00BD,189,vulgar fraction one half,Latin-1 Supplement,frac12 half,Fractions,1/2
¾,00BE,190,vulgar fraction three quarters,Latin-1 Supplement,frac34,Fractions,3/4
¿,00BF,191,inverted question mark,Latin-1 Supplement,iquest,,?
À,00C0,192,latin capital letter a with grave,Latin-1 Supplement,Agrave,,
Á,00C1,193,latin capital letter a with acute,Latin-1 Supplement,Aacute,,
Â,00C2,194,latin capital letter a with circumflex,Latin-1 Supplement,Acirc,,
Ã,00C3,195,latin capital letter a with tilde,Latin-1 Supplement,Atilde,,
Ä,00C4,196,latin capital letter a with diaeresis,Latin-1 Supplement,Auml,,
Å,00C5,197,latin capital letter a with ring above,Latin-1 Supplement,Aring angst,,ring
Æ,00C6,198,latin capital letter ae,Latin-1 Supplement,AElig,,
Ç,00C7,199,latin capital letter c with cedilla,Latin-1 Supplement,Ccedil,,
È,00C8,200,latin capital letter e with grave,Latin-1 Supplement,Egrave,,
É,00C9,201,latin capital letter e with acute,Latin-1 Supplement,Eacute,,
Ê,00CA,202,latin capital letter e with circumflex,Latin-1 Supplement,Ecirc,,
Ë,00CB,203,latin capital letter e with diaeresis,Latin-1 Supplement,Euml,,
Ì,00CC,204,latin capital letter i with grave,Latin-1 Supplement,Igrave,,
Í,00CD,205,latin capital letter i with acute,Latin-1 Supplement,Iacute,,
Î,00CE,206,latin capital letter i with circumflex,Latin-1 Supplement,Icirc,,
Ï,00CF,207,latin capital letter i with diaeresis,Latin-1 Supplement,Iuml,,
Ð,00D0,208,latin capital letter eth,Latin-1 Supplement,ETH,,d
Ñ,00D1,209,latin capital letter n with tilde,Latin-1 Supplement,Ntilde,,
Ò,00D2,210,latin capital letter o with grave,Latin-1 Supplement,Ograve,,
Ó,00D3,211,latin capital letter o with acute,Latin-1 Supplement,Oacute,,
Ô,00D4,212,latin capital letter o with circumflex,Latin-1 Supplement,Ocirc,,
Õ,00D5,213,latin capital letter o with tilde,Latin-1 Supplement,Otilde,,
Ö,00D6,214,latin capital letter o with diaeresis,Latin-1 Supplement,Ouml,,
×,00D7,215,multiplication sign,Latin-1 Supplement,times,,multiplicate x times multiply
Ø,00D8,216,latin capital letter o with stroke,Latin-1 Supplement,Oslash,,slash / average
Ù,00D9,217,latin capital letter u with grave,Latin-1 Supplement,Ugrave,,
Ú,00DA,218,latin capital letter u with acute,Latin-1 Supplement,Uacute,,
Û,00DB,219,latin capital letter u with circumflex,Latin-1 Supplement,Ucirc,,
Ü,00DC,220,latin capital letter u with diaeresis,Latin-1 Supplement,Uuml,,
Ý,00DD,221,latin capital letter y with acute,Latin-1 Supplement,Yacute,,
Þ,00DE,222,latin capital letter thorn,Latin-1 Supplement,THORN,,p
ß,00DF,223,latin small letter sharp s,Latin-1 Supplement,szlig,,b beta ess-zed s
à,00E0,224,latin small letter a with grave,Latin-1 Supplement,agrave,,
á,00E1,225,latin small letter a with acute,Latin-1 Supplement,aacute,,
â,00E2,226,latin small letter a with circumflex,Latin-1 Supplement,acirc,,
ã,00E3,227,latin small letter a with tilde,Latin-1 Supplement,atilde,,
ä,00E4,228,latin small letter a with diaeresis,Latin-1 Supplement,auml,,
å,00E5,229,latin small letter a with ring above,Latin-1 Supplement,aring,,ring
æ,00E6,230,latin small letter ae,Latin-1 Supplement,aelig,,
ç,00E7,231,latin small letter c with cedilla,Latin-1 Supplement,ccedil,,
è,00E8,232,latin small letter e with grave,Latin-1 Supplement,egrave,,
é,00E9,233,latin small letter e with acute,Latin-1 Supplement,eacute,,
ê,00EA,234,latin small letter e with circumflex,Latin-1 Supplement,ecirc,,
ë,00EB,235,latin small letter e with diaeresis,Latin-1 Supplement,euml,,
ì,00EC,236,latin small letter i with grave,Latin-1 Supplement,igrave,,
í,00ED,237,latin small letter i with acute,Latin-1 Supplement,iacute,,
î,00EE,238,latin small letter i with circumflex,Latin-1 Supplement,icirc,,
ï,00EF,239,latin small letter i with diaeresis,Latin-1 Supplement,iuml,,
ð,00F0,240,latin small letter eth,Latin-1 Supplement,eth,,
ñ,00F1,241,latin small letter n with tilde,Latin-1 Supplement,ntilde,,
ò,00F2,242,latin small letter o with grave,Latin-1 Supplement,ograve,,
ó,00F3,243,latin small letter o with acute,Latin-1 Supplement,oacute,,
ô,00F4,244,latin small letter o with circumflex,Latin-1 Supplement,ocirc,,
õ,00F5,245,latin small letter o with tilde,Latin-1 Supplement,otilde,,
ö,00F6,246,latin small letter o with diaeresis,Latin-1 Supplement,ouml,,o diaeresis
÷,00F7,247,division sign,Latin-1 Supplement,div divide,,division / div
ø,00F8,248,latin small letter o with stroke,Latin-1 Supplement,oslash,,o stroke slash average
ù,00F9,249,latin small letter u with grave,Latin-1 Supplement,ugrave,,u grave
ú,00FA,250,latin small letter u with acute,Latin-1 Supplement,uacute,,u acute
û,00FB,251,latin small letter u with circumflex,Latin-1 Supplement,ucirc,,u circumflex
ü,00FC,252,latin small letter u with diaeresis,Latin-1 Supplement,uuml,,u diaeresis
ý,00FD,253,latin small letter y with acute,Latin-1 Supplement,yacute,,
þ,00FE,254,latin small letter thorn,Latin-1 Supplement,thorn,,p thorn
ÿ,00FF,255,latin small letter y with diaeresis,Latin-1 Supplement,yuml,,
Ā,0100,256,latin capital letter a with macron,Latin Extended-A,Amacr,,
ā,0101,257,latin small letter a with macron,Latin Extended-A,amacr,,
Ă,0102,258,latin capital letter a with breve,Latin Extended-A,Abreve,,
ă,0103,259,latin small letter a with breve,Latin Extended-A,abreve,,
Ą,0104,260,latin capital letter a with ogonek,Latin Extended-A,Aogon,,
ą,0105,261,latin small letter a with ogonek,Latin Extended-A,aogon,,
Ć,0106,262,latin capital letter c with acute,Latin Extended-A,Cacute,,
ć,0107,263,latin small letter c with acute,Latin Extended-A,cacute,,
Ĉ,0108,264,latin capital letter c with circumflex,Latin Extended-A,Ccirc,,
ĉ,0109,265,latin small letter c with circumflex,Latin Extended-A,ccirc,,
Ċ,010A,266,latin capital letter c with dot above,Latin Extended-A,Cdot,,
ċ,010B,267,latin small letter c with dot above,Latin Extended-A,cdot,,
Č,010C,268,latin capital letter c with caron,Latin Extended-A,Ccaron,,
č,010D,269,latin small letter c with caron,Latin Extended-A,ccaron,,
Ď,010E,270,latin capital letter d with caron,Latin Extended-A,Dcaron,,
ď,010F,271,latin small letter d with caron,Latin Extended-A,dcaron,,
Đ,0110,272,latin capital letter d with stroke,Latin Extended-A,Dstrok,,
đ,0111,273,latin small letter d with stroke,Latin Extended-A,dstrok,,
Ē,0112,274,latin capital letter e with macron,Latin Extended-A,Emacr,,
ē,0113,275,latin small letter e with macron,Latin Extended-A,emacr,,
Ĕ,0114,276,latin capital letter e with breve,Latin Extended-A,,,
ĕ,0115,277,latin small letter e with breve,Latin Extended-A,,,
Ė,0116,278,latin capital letter e with dot above,Latin Extended-A,Edot,,
ė,0117,279,latin small letter e with dot above,Latin Extended-A,edot,,
Ę,0118,280,latin capital letter e with ogonek,Latin Extended-A,Eogon,,
ę,0119,281,latin small letter e with ogonek,Latin Extended-A,eogon,,
Ě,011A,282,latin capital letter e with caron,Latin Extended-A,Ecaron,,
ě,011B,283,latin small letter e with caron,Latin Extended-A,ecaron,,
Ĝ,011C,284,latin capital letter g with circumflex,Latin Extended-A,Gcirc,,
ĝ,011D,285,latin small letter g with circumflex,Latin Extended-A,gcirc,,
Ğ,011E,286,latin capital letter g with breve,Latin Extended-A,Gbreve,,
ğ,011F,287,latin small letter g with breve,Latin Extended-A,gbreve,,
Ġ,0120,288,latin capital letter g with dot above,Latin Extended-A,Gdot,,
ġ,0121,289,latin small letter g with dot above,Latin Extended-A,gdot,,
Ģ,0122,290,latin capital letter g with cedilla,Latin Extended-A,Gcedil,,
ģ,0123,291,latin small letter g with cedilla,Latin Extended-A,,,
Ĥ,0124,292,latin capital letter h with circumflex,Latin Extended-A,Hcirc,,
ĥ,0125,293,latin small letter h with circumflex,Latin Extended-A,hcirc,,
Ħ,0126,294,latin capital letter h with stroke,Latin Extended-A,Hstrok,,
ħ,0127,295,latin small letter h with stroke,Latin Extended-A,hstrok,,
Ĩ,0128,296,latin capital letter i with tilde,Latin Extended-A,Itilde,,
ĩ,0129,297,latin small letter i with tilde,Latin Extended-A,itilde,,
Ī,012A,298,latin capital letter i with macron,Latin Extended-A,Imacr,,
ī,012B,299,latin small letter i with macron,Latin Extended-A,imacr,,
Ĭ,012C,300,latin capital letter i with breve,Latin Extended-A,,,
ĭ,012D,301,latin small letter i with breve,Latin Extended-A,,,
Į,012E,302,latin capital letter i with ogonek,Latin Extended-A,Iogon,,
į,012F,303,latin small letter i with ogonek,Latin Extended-A,iogon,,
İ,0130,304,latin capital letter i with dot above,Latin Extended-A,Idot,,
ı,0131,305,latin small letter dotless i,Latin Extended-A,imath inodot,,
Ĳ,0132,306,latin capital ligature ij,Latin Extended-A,IJlig,,IJ
ĳ,0133,307,latin small ligature ij,Latin Extended-A,ijlig,,ij
Ĵ,0134,308,latin capital letter j with circumflex,Latin Extended-A,Jcirc,,
ĵ,0135,309,latin small letter j with circumflex,Latin Extended-A,jcirc,,
Ķ,0136,310,latin capital letter k with cedilla,Latin Extended-A,Kcedil,,
ķ,0137,311,latin small letter k with cedilla,Latin Extended-A,kcedil,,
ĸ,0138,312,latin small letter kra,Latin Extended-A,kgreen,,
Ĺ,0139,313,latin capital letter l with acute,Latin Extended-A,Lacute,,
ĺ,013A,314,latin small letter l with acute,Latin Extended-A,lacute,,
Ļ,013B,315,latin capital letter l with cedilla,Latin Extended-A,Lcedil,,
ļ,013C,316,latin small letter l with cedilla,Latin Extended-A,lcedil,,
Ľ,013D,317,latin capital letter l with caron,Latin Extended-A,Lcaron,,
ľ,013E,318,latin small letter l with caron,Latin Extended-A,lcaron,,
Ŀ,013F,319,latin capital letter l with middle dot,Latin Extended-A,Lmidot,,
ŀ,0140,320,latin small letter l with middle dot,Latin Extended-A,lmidot,,
Ł,0141,321,latin capital letter l with stroke,Latin Extended-A,Lstrok,,
ł,0142,322,latin small letter l with stroke,Latin Extended-A,lstrok,,
Ń,0143,323,latin capital letter n with acute,Latin Extended-A,Nacute,,
ń,0144,324,latin small letter n with acute,Latin Extended-A,nacute,,
Ņ,0145,325,latin capital letter n with cedilla,Latin Extended-A,Ncedil,,
ņ,0146,326,latin small letter n with cedilla,Latin Extended-A,ncedil,,
Ň,0147,327,latin capital letter n with caron,Latin Extended-A,Ncaron,,
ň,0148,328,latin small letter n with caron,Latin Extended-A,ncaron,,
ŉ,0149,329,latin small letter n preceded by apostrophe,Latin Extended-A,napos,,
Ŋ,014A,330,latin capital letter eng,Latin Extended-A,ENG,,
ŋ,014B,331,latin small letter eng,Latin Extended-A,eng,,
Ō,014C,332,latin capital letter o with macron,Latin Extended-A,Omacr,,
ō,014D,333,latin small letter o with macron,Latin Extended-A,omacr,,
Ŏ,014E,334,latin capital letter o with breve,Latin Extended-A,,,
ŏ,014F,335,latin small letter o with breve,Latin Extended-A,,,
Ő,0150,336,latin capital letter o with double acute,Latin Extended-A,Odblac,,
ő,0151,337,latin small letter o with double acute,Latin Extended-A,odblac,,
Œ,0152,338,latin capital ligature oe,Latin Extended-A,OElig,,OE
œ,0153,339,latin small ligature oe,Latin Extended-A,oelig,,oe
Ŕ,0154,340,latin capital letter r with acute,Latin Extended-A,Racute,,
ŕ,0155,341,latin small letter r with acute,Latin Extended-A,racute,,
Ŗ,0156,342,latin capital letter r with cedilla,Latin Extended-A,Rcedil,,
ŗ,0157,343,latin small letter r with cedilla,Latin Extended-A,rcedil,,
Ř,0158,344,latin capital letter r with caron,Latin Extended-A,Rcaron,,
ř,0159,345,latin small letter r with caron,Latin Extended-A,rcaron,,
Ś,015A,346,latin capital letter s with acute,Latin Extended-A,Sacute,,
ś,015B,347,latin small letter s with acute,Latin Extended-A,sacute,,
Ŝ,015C,348,latin capital letter s with circumflex,Latin Extended-A,Scirc,,
ŝ,015D,349,latin small letter s with circumflex,Latin Extended-A,scirc,,
Ş,015E,350,latin capital letter s with cedilla,Latin Extended-A,Scedil,,
ş,015F,351,latin small letter s with cedilla,Latin Extended-A,scedil,,
Š,0160,352,latin capital letter s with caron,Latin Extended-A,Scaron,,S caron
š,0161,353,latin small letter s with caron,Latin Extended-A,scaron,,s caron
Ţ,0162,354,latin capital letter t with cedilla,Latin Extended-A,Tcedil,,
ţ,0163,355,latin small letter t with cedilla,Latin Extended-A,tcedil,,
Ť,0164,356,latin capital letter t with caron,Latin Extended-A,Tcaron,,
ť,0165,357,latin small letter t with caron,Latin Extended-A,tcaron,,
Ŧ,0166,358,latin capital letter t with stroke,Latin Extended-A,Tstrok,,
ŧ,0167,359,latin small letter t with stroke,Latin Extended-A,tstrok,,
Ũ,0168,360,latin capital letter u with tilde,Latin Extended-A,Utilde,,
ũ,0169,361,latin small letter u with tilde,Latin Extended-A,utilde,,
Ū,016A,362,latin capital letter u with macron,Latin Extended-A,Umacr,,
ū,016B,363,latin small letter u with macron,Latin Extended-A,umacr,,
Ŭ,016C,364,latin capital letter u with breve,Latin Extended-A,Ubreve,,
ŭ,016D,365,latin small letter u with breve,Latin Extended-A,ubreve,,
Ů,016E,366,latin capital letter u with ring above,Latin Extended-A,Uring,,
ů,016F,367,latin small letter u with ring above,Latin Extended-A,uring,,
Ű,0170,368,latin capital letter u with double acute,Latin Extended-A,Udblac,,
ű,0171,369,latin small letter u with double acute,Latin Extended-A,udblac,,
Ų,0172,370,latin capital letter u with ogonek,Latin Extended-A,Uogon,,
ų,0173,371,latin small letter u with ogonek,Latin Extended-A,uogon,,
Ŵ,0174,372,latin capital letter w with circumflex,Latin Extended-A,Wcirc,,
ŵ,0175,373,latin small letter w with circumflex,Latin Extended-A,wcirc,,
Ŷ,0176,374,latin capital letter y with circumflex,Latin Extended-A,Ycirc,,
ŷ,0177,375,latin small letter y with circumflex,Latin Extended-A,ycirc,,
Ÿ,0178,376,latin capital letter y with diaeresis,Latin Extended-A,Yuml,,Y diaeresis
Ź,0179,377,latin capital letter z with acute,Latin Extended-A,Zacute,,
ź,017A,378,latin small letter z with acute,Latin Extended-A,zacute,,
Ż,017B,379,latin capital letter z with dot above,Latin Extended-A,Zdot,,
ż,017C,380,latin small letter z with dot above,Latin Extended-A,zdot,,
Ž,017D,381,latin capital letter z with caron,Latin Extended-A,Zcaron,,
ž,017E,382,latin small letter z with caron,Latin Extended-A,zcaron,,
ſ,017F,383,latin small letter long s,Latin Extended-A,,,
ƀ,0180,384,latin small letter b with stroke,Latin Extended-B,,,
Ɓ,0181,385,latin capital letter b with hook,Latin Extended-B,,,
Ƃ,0182,386,latin capital letter b with topbar,Latin Extended-B,,,
ƃ,0183,387,latin small letter b with topbar,Latin Extended-B,,,
Ƅ,0184,388,latin capital letter tone six,Latin Extended-B,,,
ƅ,0185,389,latin small letter tone six,Latin Extended-B,,,
Ɔ,0186,390,latin capital letter open o,Latin Extended-B,,,
Ƈ,0187,391,latin capital letter c with hook,Latin Extended-B,,,
ƈ,0188,392,latin small letter c with hook,Latin Extended-B,,,
Ɖ,0189,393,latin capital letter african d,Latin Extended-B,,,
Ɗ,018A,394,latin capital letter d with hook,Latin Extended-B,,,
Ƌ,018B,395,latin capital letter d with topbar,Latin Extended-B,,,
ƌ,018C,396,latin small letter d with topbar,Latin Extended-B,,,
ƍ,018D,397,latin small letter turned delta,Latin Extended-B,,,
Ǝ,018E,398,latin capital letter reversed e,Latin Extended-B,,,
Ə,018F,399,latin capital letter schwa,Latin Extended-B,,,
Ɛ,0190,400,latin capital letter open e,Latin Extended-B,,,
Ƒ,0191,401,latin capital letter f with hook,Latin Extended-B,,,
ƒ,0192,402,latin small letter f with hook,Latin Extended-B,fnof,,f hook function florin
Ɠ,0193,403,latin capital letter g with hook,Latin Extended-B,,,
Ɣ,0194,404,latin capital letter gamma,Latin Extended-B,,,
ƕ,0195,405,latin small letter hv,Latin Extended-B,,,
Ɩ,0196,406,latin capital letter iota,Latin Extended-B,,,
Ɨ,0197,407,latin capital letter i with stroke,Latin Extended-B,,,
Ƙ,0198,408,latin capital letter k with hook,Latin Extended-B,,,
ƙ,0199,409,latin small letter k with hook,Latin Extended-B,,,
ƚ,019A,410,latin small letter l with bar,Latin Extended-B,,,
ƛ,019B,411,latin small letter lambda with stroke,Latin Extended-B,,,
Ɯ,019C,412,latin capital letter turned m,Latin Extended-B,,,
Ɲ,019D,413,latin capital letter n with left hook,Latin Extended-B,,,
ƞ,019E,414,latin small letter n with long right leg,Latin Extended-B,,,
Ɵ,019F,415,latin capital letter o with middle tilde,Latin Extended-B,,,
Ơ,01A0,416,latin capital letter o with horn,Latin Extended-B,,,
ơ,01A1,417,latin small letter o with horn,Latin Extended-B,,,
Ƣ,01A2,418,latin capital letter oi,Latin Extended-B,,,
ƣ,01A3,419,latin small letter oi,Latin Extended-B,,,
Ƥ,01A4,420,latin capital letter p with hook,Latin Extended-B,,,
ƥ,01A5,421,latin small letter p with hook,Latin Extended-B,,,
Ʀ,01A6,422,latin letter yr,Latin Extended-B,,,
Ƨ,01A7,423,latin capital letter tone two,Latin Extended-B,,,
ƨ,01A8,424,latin small letter tone two,Latin Extended-B,,,
Ʃ,01A9,425,latin capital letter esh,Latin Extended-B,,,
ƪ,01AA,426,latin letter reversed esh loop,Latin Extended-B,,,
ƫ,01AB,427,latin small letter t with palatal hook,Latin Extended-B,,,
Ƭ,01AC,428,latin capital letter t with hook,Latin Extended-B,,,
ƭ,01AD,429,latin small letter t with hook,Latin Extended-B,,,
Ʈ,01AE,430,latin capital letter t with retroflex hook,Latin Extended-B,,,
Ư,01AF,431,latin capital letter u with horn,Latin Extended-B,,,
ư,01B0,432,latin small letter u with horn,Latin Extended-B,,,
Ʊ,01B1,433,latin capital letter upsilon,Latin Extended-B,,,
Ʋ,01B2,434,latin capital letter v with hook,Latin Extended-B,,,
Ƴ,01B3,435,latin capital letter y with hook,Latin Extended-B,,,
ƴ,01B4,436,latin small letter y with hook,Latin Extended-B,,,
Ƶ,01B5,437,latin capital letter z with stroke,Latin Extended-B,imped,,
ƶ,01B6,438,latin small letter z with stroke,Latin Extended-B,,,
Ʒ,01B7,439,latin capital letter ezh,Latin Extended-B,,,
Ƹ,01B8,440,latin capital letter ezh reversed,Latin Extended-B,,,
ƹ,01B9,441,latin small letter ezh reversed,Latin Extended-B,,,
ƺ,01BA,442,latin small letter ezh with tail,Latin Extended-B,,,
ƻ,01BB,443,latin letter two with stroke,Latin Extended-B,,,
Ƽ,01BC,444,latin capital letter tone five,Latin Extended-B,,,
ƽ,01BD,445,latin small letter tone five,Latin Extended-B,,,
ƾ,01BE,446,latin letter inverted glottal stop with stroke,Latin Extended-B,,,
ƿ,01BF,447,latin letter wynn,Latin Extended-B,,,
ǀ,01C0,448,latin letter dental click,Latin Extended-B,,,l
ǁ,01C1,449,latin letter lateral click,Latin Extended-B,,,||
ǂ,01C2,450,latin letter alveolar click,Latin Extended-B,,,+
ǃ,01C3,451,latin letter retroflex click,Latin Extended-B,,,!
Ǆ,01C4,452,latin capital letter dz with caron,Latin Extended-B,,,
ǅ,01C5,453,latin capital letter d with small letter z with caron,Latin Extended-B,,,
ǆ,01C6,454,latin small letter dz with caron,Latin Extended-B,,,
Ǉ,01C7,455,latin capital letter lj,Latin Extended-B,,,
ǈ,01C8,456,latin capital letter l with small letter j,Latin Extended-B,,,
ǉ,01C9,457,latin small letter lj,Latin Extended-B,,,
Ǌ,01CA,458,latin capital letter nj,Latin Extended-B,,,
ǋ,01CB,459,latin capital letter n with small letter j,Latin Extended-B,,,
ǌ,01CC,460,latin small letter nj,Latin Extended-B,,,
Ǎ,01CD,461,latin capital letter a with caron,Latin Extended-B,,,
ǎ,01CE,462,latin small letter a with caron,Latin Extended-B,,,
Ǐ,01CF,463,latin capital letter i with caron,Latin Extended-B,,,
ǐ,01D0,464,latin small letter i with caron,Latin Extended-B,,,
Ǒ,01D1,465,latin capital letter o with caron,Latin Extended-B,,,
ǒ,01D2,466,latin small letter o with caron,Latin Extended-B,,,
Ǔ,01D3,467,latin capital letter u with caron,Latin Extended-B,,,
ǔ,01D4,468,latin small letter u with caron,Latin Extended-B,,,
Ǖ,01D5,469,latin capital letter u with diaeresis and macron,Latin Extended-B,,,
ǖ,01D6,470,latin small letter u with diaeresis and macron,Latin Extended-B,,,
Ǘ,01D7,471,latin capital letter u with diaeresis and acute,Latin Extended-B,,,
ǘ,01D8,472,latin small letter u with diaeresis and acute,Latin Extended-B,,,
Ǚ,01D9,473,latin capital letter u with diaeresis and caron,Latin Extended-B,,,
ǚ,01DA,474,latin small letter u with diaeresis and caron,Latin Extended-B,,,
Ǜ,01DB,475,latin capital letter u with diaeresis and grave,Latin Extended-B,,,
ǜ,01DC,476,latin small letter u with diaeresis and grave,Latin Extended-B,,,
